,batter_name,team,birthday,height,weight,age
1051,김웅비,KIA,1985-06-22,182cm,85kg,34
1052,박현,KIA,1985-08-04,178cm,87kg,34
1053,박종모,KIA,1988-02-13,178cm,86kg,32
1054,허정우,KIA,1989-08-29,182cm,82kg,30
1055,임태환,KIA,1992-06-09,184cm,80kg,28
1056,김민섭,KIA,1990-09-09,175cm,78kg,29
1057,홍세완,KIA,1978-01-16,183cm,85kg,42
1058,서동수,KIA,1986-04-28,178cm,75kg,34
1059,박정환,SK,1986-03-14,180cm,83kg,34
1060,전준수,KIA,1988-02-14,170cm,70kg,32
1061,구자운,삼성,1980-06-19,184cm,95kg,40
1062,오상민,LG,1974-10-20,184cm,86kg,45
1063,권오원,삼성,1979-08-16,184cm,84kg,40
1064,경헌호,LG,1977-07-25,181cm,98kg,42
1065,곽동훈,삼성,1981-07-13,178cm,83kg,38
1066,서승화,LG,1979-07-13,195cm,83kg,40
1067,추승민,삼성,1987-08-18,182cm,79kg,32
1068,박현준*,SK,1986-09-22,185cm,90kg,33
1069,카도쿠라,SK,1973-03-09,191cm,95kg,47
1070,가코,,1981-01-02,188cm,102kg,39
1071,김성훈,삼성,1987-05-08,183cm,90kg,33
1072,김형준,삼성,1984-05-11,184cm,95kg,36
1073,손인호,LG,1975-04-03,180cm,90kg,45
1074,김지훈,삼성,1991-05-08,185cm,95kg,29
1075,김종화,삼성,1991-08-14,187cm,84kg,28
1076,신희섭,삼성,1990-09-15,178cm,80kg,29
1077,곽동현,삼성,1984-03-17,183cm,95kg,36
1078,김동은,KT,1990-11-13,174cm,75kg,29
1079,김준호,LG,1984-03-03,185cm,88kg,36
1080,정명현,삼성,1987-03-09,184cm,100kg,33
1081,이강혁,NC,1991-10-23,184cm,89kg,28
1082,김남석,,1989-01-14,186cm,90kg,31
1083,이현우,LG,1990-05-15,183cm,82kg,30
1084,지승환,LG,1986-03-11,181cm,80kg,34
1085,조규수,두산,1981-09-15,183cm,82kg,38
1086,황두성,Hero,1976-11-16,0cm,0kg,43
1087,노병오,Hero,1983-09-07,180cm,86kg,36
1088,김수화,롯데,1986-01-12,188cm,91kg,34
1089,장태종,Hero,1983-03-08,183cm,88kg,37
1090,박민주,Hero,1987-07-23,186cm,83kg,32
1091,김성현*,Hero,1989-01-03,184cm,75kg,31
1092,정희찬,Hero,1987-02-07,194cm,101kg,33
1093,박도현,Hero,1983-04-12,183cm,90kg,37
1094,라미레즈,두산,1982-09-16,182cm,90kg,37
1095,이숭용,Hero,1971-03-10,185cm,86kg,49
1096,권도영,Hero,1981-02-11,177cm,80kg,39
1097,황필선,두산,1992-04-16,180cm,70kg,28
1098,김상훈,Hero,1990-03-16,184cm,76kg,30
1099,장종덕,Hero,1987-10-29,180cm,88kg,32
1100,안동현,두산,1986-12-24,182cm,74kg,33
1101,신효철,두산,1990-07-08,175cm,70kg,29
1102,이원희,두산,1985-07-15,186cm,89kg,34
1103,김영재,두산,1986-03-27,185cm,92kg,34
1104,알드리지,Hero,1979-06-13,185cm,102kg,41
1105,황인권,두산,1988-05-19,180cm,86kg,32
1106,이성욱,Hero,1986-05-21,183cm,90kg,34
1107,김만효,Hero,1987-09-17,174cm,86kg,32
1108,조영연,Hero,1988-04-14,178cm,82kg,32
1109,김기한,Hero,1990-07-11,176cm,80kg,29
1110,김호연,Hero,1992-03-09,180cm,80kg,28
1111,조용성,Hero,1993-01-11,176cm,80kg,27
1112,황성웅,롯데,1986-06-12,180cm,78kg,34
1113,김민재,Hero,1991-04-25,178cm,84kg,29
1114,이현준,롯데,1991-05-12,180cm,77kg,29
1115,김재현,한화,1979-09-07,177cm,78kg,40
1116,이대호,롯데,1982-06-21,194cm,130kg,38
1117,이동현,KIA,1979-11-15,188cm,92kg,40
1118,신해수,한화,1987-11-30,187cm,78kg,32
1119,코리,롯데,1973-10-21,183cm,82kg,46
1120,최진호,한화,1984-08-26,183cm,80kg,35
1121,이정동,롯데,1985-07-17,180cm,90kg,34
1122,송보람,롯데,1986-12-09,174cm,87kg,33
1123,김우경,롯데,1992-09-19,176cm,84kg,27
1124,임영학,롯데,1988-09-18,178cm,88kg,31
1125,박승완,롯데,1988-01-01,179cm,82kg,32
1126,방힘찬,롯데,1988-08-18,178cm,78kg,31
1127,데폴라,한화,1982-12-31,187cm,95kg,37
1128,페레즈,한화,1983-05-26,188cm,98kg,37
1129,김지호,한화,1991-07-17,187cm,78kg,28
1130,강성민,한화,1986-12-24,182cm,78kg,33
1131,정대욱,한화,1988-11-30,181cm,85kg,31
1132,정연태,한화,1988-03-14,182cm,80kg,32
1133,나용훈,한화,1988-09-06,183cm,83kg,31
1134,김진웅,삼성,1980-02-20,184cm,84kg,40
1135,임동규,삼성,1979-06-03,185cm,97kg,41
1136,채형직,삼성,1986-02-26,184cm,85kg,34
1137,정홍준,삼성,1983-05-25,184cm,94kg,37
1138,임익현,삼성,1990-08-16,185cm,88kg,29
1139,김종국,KIA,1973-09-14,180cm,80kg,46
1140,김민철,KIA,1982-03-14,178cm,76kg,38
1141,최천수,삼성,1990-05-13,178cm,88kg,30
1142,김형철,KIA,1980-05-26,176cm,79kg,40
1143,최용규,KIA,1985-08-31,182cm,78kg,34
1144,양준혁,삼성,1969-05-26,188cm,95kg,51
1145,크루세타,삼성,1981-07-04,188cm,97kg,38
1146,유휘봉,KIA,1991-02-26,178cm,80kg,29
1147,정민우,삼성,1991-09-24,177cm,88kg,28
1148,로드리게스,KIA,1978-05-21,188cm,85kg,42
1149,안성필,삼성,1987-07-29,180cm,78kg,32
1150,전준호,삼성,1986-07-23,182cm,77kg,33
1151,김지호,삼성,1986-08-10,178cm,75kg,33
1152,이만기,삼성,1987-12-02,178cm,80kg,32
1153,한승엽,KIA,1985-02-05,188cm,94kg,35
1154,변선웅,KIA,1985-11-29,181cm,90kg,34
1155,신철인,Hero,1977-05-22,175cm,75kg,43
1156,유승룡,KIA,1986-01-29,174cm,70kg,34
1157,송승민,KIA,1983-05-08,180cm,83kg,37
1158,최병윤,KIA,1986-12-21,175cm,78kg,33
1159,주도성,KIA,1992-01-18,185cm,110kg,28
1160,이정호,Hero,1982-04-27,187cm,97kg,38
1161,조용준,Hero,1979-03-17,176cm,72kg,41
1162,가득염,,1969-10-01,184cm,82kg,50
1163,손승현,Hero,1982-07-08,185cm,92kg,37
1164,정병희,SK,1983-05-25,178cm,82kg,37
1165,오민철,SK,1985-09-12,185cm,97kg,34
1166,클락,Hero,1976-03-05,190cm,90kg,44
1167,번사이드,Hero,1977-03-15,190cm,95kg,43
1168,안경현,SK,1970-02-13,182cm,82kg,50
1169,임성학,Hero,1987-05-08,179cm,78kg,33
1170,김용우,SK,1979-09-12,180cm,83kg,40
1171,최경환,Hero,1989-12-19,175cm,80kg,30
1172,김한상,Hero,1984-05-23,182cm,85kg,36
1173,추경식,SK,1983-11-19,177cm,80kg,36
1174,하지호,SK,1984-12-16,177cm,76kg,35
1175,최원호,LG,1973-03-13,183cm,86kg,47
1176,김재현,SK,1975-10-02,177cm,85kg,44
1177,김민기,LG,1977-05-19,189cm,90kg,43
1178,정성훈,LG,1977-12-09,186cm,95kg,42
1179,안준형,SK,1985-03-22,180cm,85kg,35
1180,이형종,LG,1989-06-07,183cm,80kg,31
1181,지훈,SK,1986-02-22,181cm,75kg,34
1182,이장환,SK,1984-09-02,185cm,82kg,35
1183,황건주,SK,1989-03-14,182cm,89kg,31
1184,김정민,LG,1970-03-15,184cm,83kg,50
1185,박종호,LG,1973-07-27,176cm,83kg,46
1186,방정우,SK,1986-12-02,177cm,80kg,33
1187,지승민,두산,1978-09-12,185cm,88kg,41
1188,오태근,LG,1978-04-05,181cm,74kg,42
1189,오카모토,LG,1974-10-21,183cm,95kg,45
1190,김명제,두산,1987-01-05,187cm,95kg,33
1191,곤잘레스,LG,1983-02-23,187cm,98kg,37
1192,송현우,LG,1981-09-16,180cm,82kg,38
1193,강창주,LG,1985-07-27,188cm,95kg,34
1194,김태식,LG,1988-03-01,184cm,90kg,32
1195,김수형,LG,1985-03-27,182cm,84kg,35
1196,차기훈,LG,1985-03-09,180cm,83kg,35
1197,이경환,LG,1983-05-21,177cm,93kg,37
1198,배상현,두산,1990-10-17,180cm,74kg,29
1199,임도희,LG,1985-04-01,173cm,83kg,35
1200,최우정,LG,1991-02-10,175cm,75kg,29
1201,왈론드,두산,1976-11-07,183cm,89kg,43
1202,남궁훈,두산,1984-01-09,187cm,100kg,36
1203,노경우,두산,1987-09-05,184cm,90kg,32
1204,윤명운,두산,1991-02-13,181cm,85kg,29
1205,구대성,한화,1969-08-02,183cm,85kg,50
1206,오정환,두산,1987-12-09,180cm,90kg,32
1207,윤경영,한화,1980-08-12,187cm,88kg,39
1208,이창석,두산,1984-12-15,183cm,90kg,35
1209,조성우,한화,1989-01-30,189cm,88kg,31
1210,김현수,두산,1984-01-19,186cm,90kg,36
1211,전준홍,두산,1991-08-18,186cm,80kg,28
1212,장민재,한화,1990-03-19,184cm,98kg,30
1213,이도형,한화,1975-05-24,182cm,95kg,45
1214,김휘곤,롯데,1984-07-28,187cm,85kg,35
1215,이영우,한화,1973-11-27,181cm,86kg,46
1216,민경수,롯데,1986-03-20,178cm,81kg,34
1217,전근표,한화,1977-03-05,185cm,88kg,43
1218,서성민,롯데,1990-08-01,186cm,90kg,29
1219,정희상,한화,1982-08-13,183cm,85kg,37
1220,김동영,한화,1985-04-02,180cm,78kg,35
1221,최기문,롯데,1973-06-10,182cm,83kg,47
1222,서정,한화,1984-04-16,178cm,75kg,36
1223,카페얀,한화,1981-01-13,195cm,105kg,39
1224,김동호,삼성,1985-09-10,185cm,91kg,34
1225,가르시아,,1975-10-29,180cm,85kg,44
1226,최헌주,롯데,1989-03-07,179cm,83kg,31
1227,현천웅,롯데,1987-05-18,174cm,76kg,33
1228,유동근,롯데,1987-07-12,178cm,90kg,32
1229,이도윤,롯데,1986-01-17,180cm,85kg,34
1230,김재우,한화,1991-10-22,181cm,72kg,28
1231,오두철,KIA,1985-04-25,178cm,78kg,35
1232,고영표,KT,1991-09-16,187cm,88kg,28
1233,김민수,KT,1992-07-24,188cm,80kg,27
1234,박세웅,롯데,1995-11-30,183cm,75kg,24
1235,시스코,KT,1983-01-13,208cm,102kg,37
1236,심재민,KT,1994-02-18,182cm,92kg,26
1237,안현준,KT,1995-03-23,187cm,85kg,25
1238,양형진,롯데,1991-07-12,188cm,98kg,28
1239,어윈,KT,1987-02-25,191cm,95kg,33
1240,엄상백,KT,1996-10-04,187cm,72kg,23
1241,오현민,KT,1987-05-21,180cm,83kg,33
1242,윤수호,두산,1992-07-09,183cm,90kg,27
1243,이창재,KT,1992-12-29,178cm,71kg,27
1244,정성곤,KT,1996-07-10,176cm,74kg,23
1245,조무근,롯데,1991-09-26,198cm,116kg,28
1246,조현우,KT,1994-03-30,182cm,79kg,26
1247,주권,KT,1995-05-31,181cm,82kg,25
1248,홍성무,NC,1993-01-25,183cm,98kg,27
1249,김종민,한화,1986-03-30,176cm,85kg,34
1250,안승한,KT,1992-01-25,177cm,89kg,28
1251,안중열,롯데,1995-09-01,177cm,78kg,24
1252,김병희,KT,1990-12-06,180cm,82kg,29
1253,김태훈,KT,1996-03-31,177cm,78kg,24
1254,마르테,KT,1983-10-21,185cm,93kg,36
1255,문상철,KT,1991-04-06,184cm,85kg,29
1256,심우준,KT,1995-04-28,183cm,75kg,25
1257,이지찬,KT,1991-08-19,174cm,70kg,28
1258,정주후,KT,1995-06-26,180cm,67kg,24
1259,김민혁,KT,1995-11-21,181cm,71kg,24
1260,김성윤,KT,1991-06-15,178cm,78kg,29
1261,김진곤,KT,1987-09-10,173cm,75kg,32
1262,송민섭,KT,1991-08-02,177cm,80kg,28
1263,한상일,KT,1989-10-25,181cm,78kg,30
1264,피가로,삼성,1984-07-07,191cm,95kg,35
1265,클로이드,삼성,1987-05-16,191cm,95kg,33
1266,피어밴드,KT,1985-08-22,190cm,102kg,34
1267,루카스,LG,1985-06-03,189cm,91kg,35
1268,한나한,LG,1980-03-04,189cm,91kg,40
1269,켈리,SK,1988-10-14,188cm,86kg,31
1270,브라운,SK,1984-09-10,182cm,90kg,35
1271,루츠,두산,1986-06-03,184cm,99kg,34
1272,레일리,롯데,1988-06-29,190cm,84kg,31
1273,린드블럼,두산,1987-06-15,195cm,105kg,33
1274,아두치*,롯데,1985-05-15,188cm,95kg,35
1275,험버,KIA,1982-12-21,190cm,95kg,37
1276,스틴슨,KIA,1988-03-14,193cm,95kg,32
1277,모건,한화,1980-07-02,180cm,80kg,39
1278,최병연,KIA,1986-12-21,178cm,80kg,33
1279,지성준,롯데,1994-04-10,180cm,92kg,26
1280,정유철,한화,1988-11-16,173cm,70kg,31
1281,주현상,한화,1992-08-10,177cm,82kg,27
1282,김택형,SK,1996-10-10,183cm,83kg,23
1283,강장산,KT,1990-02-16,194cm,104kg,30
1284,윤병호,NC,1989-07-05,181cm,78kg,30
1285,김명찬,KIA,1992-10-24,187cm,84kg,27
1286,황대인,KIA,1996-02-10,178cm,90kg,24
1287,박지규,LG,1991-10-12,183cm,80kg,28
1288,채기영,한화,1995-09-01,180cm,68kg,24
1289,김재성,LG,1996-10-30,185cm,85kg,23
1290,강로한,롯데,1992-05-13,182cm,76kg,28
1291,김대륙,롯데,1992-04-03,185cm,78kg,28
1292,이준영,KIA,1992-08-10,177cm,83kg,27
1293,김민우,한화,1995-07-25,189cm,105kg,24
1294,이현석,SK,1992-06-07,175cm,90kg,28
1295,박철우,SK,1991-01-29,175cm,70kg,29
1296,강동관,롯데,1996-11-01,183cm,83kg,23
1297,문경찬,KIA,1992-07-08,186cm,80kg,27
1298,박성민,두산,1992-11-14,171cm,76kg,27
1299,남경호,두산,1996-04-07,185cm,85kg,24
1300,김호령,KIA,1992-04-30,178cm,80kg,28
1301,이은총,KIA,1991-04-16,173cm,72kg,29
1303,안익훈,LG,1996-02-12,176cm,70kg,24
1304,김재유,롯데,1992-08-08,181cm,94kg,27
1305,송성문,Hero,1996-08-29,183cm,88kg,23
1306,오윤석,롯데,1992-02-24,180cm,79kg,28
1307,폭스,한화,1982-07-20,184cm,100kg,37
1308,김재윤,KT,1990-09-16,185cm,91kg,29
1310,양원혁,LG,1991-07-21,175cm,72kg,28
1311,신성현,두산,1990-10-19,183cm,85kg,29
1312,박정수,KIA,1996-01-29,178cm,69kg,24
1313,댄블랙,KT,1987-07-02,193cm,116kg,32
1314,로메로,두산,1986-09-24,188cm,102kg,33
1316,히메네스,LG,1988-01-18,185cm,92kg,32
1317,스와잭*,두산,1985-09-10,193cm,105kg,34
1318,스튜어트,NC,1986-09-28,188cm,91kg,33
1319,최선호,삼성,1991-12-12,179cm,70kg,28
1321,윤영수,삼성,1992-03-11,176cm,76kg,28
1322,저마노,KT,1982-08-06,190cm,95kg,37
1323,에반,KIA,1983-05-12,186cm,103kg,37
1324,박한길,롯데,1994-06-03,187cm,105kg,26
1325,김범수,한화,1995-10-03,182cm,81kg,24
1326,로저스,Hero,1985-08-14,190cm,90kg,34
1327,이진석,SK,1995-05-20,182cm,78kg,25
1329,장필준,삼성,1988-04-08,190cm,90kg,32
1330,최민구,삼성,1992-03-17,178cm,75kg,28
1331,허정협,Hero,1990-02-17,184cm,92kg,30
1332,박성준,LG,1996-03-27,175cm,70kg,24
1333,김정인,Hero,1996-06-03,183cm,70kg,24
1334,김기현,SK,1987-05-09,187cm,93kg,33
1335,이종석,KIA,1992-07-21,185cm,95kg,27
1336,차재용,Hero,1996-08-20,182cm,75kg,23
1337,션헨,한화,1981-04-23,191cm,107kg,39
1338,부시,SK,1979-11-09,188cm,93kg,40
1341,김정민,SK,1992-11-18,183cm,83kg,27
1342,김웅빈,Hero,1996-02-09,181cm,84kg,24
1343,최정용,KIA,1996-10-24,179cm,86kg,23
1344,박종욱,SK,1996-03-01,181cm,80kg,24
1345,보우덴,두산,1986-09-09,191cm,101kg,33
1346,에반스,두산,1986-01-30,188cm,100kg,34
1347,웹스터,삼성,1990-02-10,188cm,86kg,30
1348,벨레스터,삼성,1986-06-06,196cm,91kg,34
1349,발디리스,삼성,1983-01-05,185cm,90kg,37
1350,코엘로,Hero,1984-11-23,195cm,115kg,35
1351,대니돈,Hero,1984-07-20,188cm,91kg,35
1352,고메즈,SK,1988-03-05,188cm,88kg,32
1353,로사리오,한화,1989-02-23,180cm,100kg,31
1354,헥터*,KIA,1987-01-26,191cm,91kg,33
1355,지크,KIA,1989-09-11,195cm,91kg,30
1356,마리몬,KT,1988-09-30,0cm,0kg,31
1357,피노,KT,1983-12-26,0cm,0kg,36
1358,마에스트리,한화,1985-07-01,183cm,80kg,34
1359,서예일,두산,1993-06-19,178cm,83kg,27
1360,조수행,두산,1993-08-30,178cm,73kg,26
1361,박준영,NC,1997-08-05,181cm,75kg,22
1362,이재율,NC,1993-05-02,185cm,75kg,27
1363,김재영,한화,1993-07-22,187cm,84kg,26
1364,이동훈,한화,1996-07-24,0cm,0kg,23
1365,구창모,NC,1997-02-17,183cm,76kg,23
1366,박주현,Hero,1996-06-19,184cm,110kg,23
1367,임석진,SK,1997-10-10,180cm,98kg,22
1368,정수민,SK,1990-04-01,188cm,92kg,30
1370,코프랜드,LG,1987-12-15,192cm,99kg,32
1371,임대한,삼성,1993-08-13,178cm,85kg,26
1372,박세진,KT,1997-06-27,178cm,93kg,22
1373,김동엽,삼성,1990-07-24,186cm,101kg,29
1374,전상현,KIA,1996-04-18,182cm,84kg,24
1375,도태훈,NC,1993-03-18,184cm,85kg,27
1376,김지수,롯데,1996-10-29,178cm,78kg,23
1377,조성모,SK,1992-02-14,179cm,71kg,28
1378,고봉재,두산,1993-05-14,185cm,86kg,27
1379,홍영현,두산,1991-01-07,189cm,87kg,29
1381,최용제,두산,1991-07-12,182cm,90kg,28
1382,레온,삼성,1988-09-06,183cm,90kg,31
1383,최원태,Hero,1997-01-07,184cm,93kg,23
1384,권정웅,삼성,1992-11-15,180cm,88kg,27
1385,김주한,SK,1993-02-03,184cm,93kg,27
1386,이진영,KIA,1997-07-21,183cm,82kg,22
1387,최원준,KIA,1997-03-23,178cm,81kg,23
1388,정동현,KIA,1997-03-20,185cm,99kg,23
1389,최성영,NC,1997-04-28,180cm,85kg,23
1390,김대현,LG,1997-03-08,188cm,100kg,23
1391,주효상,Hero,1997-11-11,182cm,85kg,22
1392,정용준,Hero,1995-06-21,181cm,80kg,24
1393,박재욱,LG,1995-12-06,180cm,78kg,24
1394,류희운,KT,1995-06-19,191cm,103kg,25
1396,카스티요,한화,1989-02-19,189cm,111kg,31
1398,맥그레거,Hero,1986-12-19,193cm,90kg,33
1399,임서준,NC,1993-04-19,181cm,81kg,27
1400,라라,SK,1988-12-20,186cm,82kg,31
1401,유재유,두산,1997-03-03,181cm,86kg,23
1402,이성규,삼성,1993-08-03,178cm,82kg,26
1403,나경민,롯데,1991-12-12,178cm,80kg,28
1404,서캠프,한화,1987-07-16,198cm,95kg,32
1405,허프,LG,1984-08-22,186cm,88kg,35
1406,채선관,KT,1988-05-03,179cm,83kg,32
1407,맥스웰,롯데,1983-11-06,192cm,102kg,36
1408,로위,KT,1984-12-26,180cm,86kg,35
1409,플란데,삼성,1986-01-27,189cm,90kg,34
1410,조한욱,KT,1996-12-19,186cm,77kg,23
1411,홍창기,LG,1993-11-21,189cm,94kg,26
1412,김성재,롯데,1993-12-23,182cm,90kg,26
1413,최충연,삼성,1997-03-05,190cm,85kg,23
1414,남태혁,SK,1991-03-13,187cm,107kg,29
1415,김윤환,Hero,1995-11-20,181cm,71kg,24
1416,정진철,두산,1991-12-28,177cm,78kg,28
1417,김만수,KT,1996-04-18,180cm,80kg,24
1418,유재훈,Hero,1997-12-18,178cm,77kg,22
1419,김주현,롯데,1993-12-21,188cm,103kg,26
1420,김승현,삼성,1992-07-09,180cm,105kg,27
1421,황선도,삼성,1997-08-28,184cm,85kg,22
1422,김명신,두산,1993-11-29,178cm,90kg,26
1423,박치국,두산,1998-03-10,177cm,78kg,22
1424,러프,삼성,1986-07-28,192cm,105kg,33
1425,레나도,삼성,1989-09-09,204cm,105kg,30
1426,페트릭,삼성,1989-07-29,192cm,90kg,30
1427,버나디나,KIA,1984-06-12,188cm,95kg,36
1428,팻딘,KIA,1989-05-25,185cm,88kg,31
1429,오설리반,Hero,1987-09-01,186cm,110kg,32
1430,다이아몬드,SK,1986-07-30,191cm,93kg,33
1431,워스,SK,1985-09-30,185cm,88kg,34
1432,스크럭스,NC,1987-09-23,183cm,98kg,32
1433,맨쉽,NC,1985-01-16,187cm,95kg,35
1434,오간도,한화,1983-10-05,196cm,91kg,36
1435,비야누에바,한화,1983-11-28,188cm,100kg,36
1436,마켈,롯데,1990-09-15,193cm,100kg,29
1437,번즈,롯데,1990-08-07,188cm,93kg,29
1438,모넬,KT,1986-03-27,185cm,95kg,34
1439,로치,KT,1989-12-14,183cm,88kg,30
1440,최지광,삼성,1998-03-13,173cm,85kg,22
1441,김한별,Hero,1997-09-03,184cm,72kg,22
1442,손주영,LG,1998-12-02,191cm,95kg,21
1443,김민혁,두산,1996-05-03,188cm,100kg,24
1444,황경태,두산,1996-08-17,181cm,77kg,23
1445,이정후,Hero,1998-08-20,185cm,78kg,21
1446,김성민,Hero,1994-04-26,181cm,90kg,26
1447,장지훈,삼성,1997-03-31,190cm,92kg,23
1448,홍현빈,KT,1997-08-29,174cm,70kg,22
1449,신범수,KIA,1998-01-25,177cm,0kg,22
1450,류승현,KIA,1997-07-01,176cm,84kg,22
1451,조용호,KT,1989-09-09,170cm,75kg,30
1452,애디튼,롯데,1987-12-16,196cm,98kg,32
1453,박진태,KIA,1994-10-19,180cm,83kg,25
1454,고우석,LG,1998-08-06,182cm,90kg,21
1455,김건국,롯데,1988-02-02,183cm,86kg,32
1456,배제성,KT,1996-09-29,189cm,85kg,23
1457,김민수,롯데,1998-03-18,182cm,96kg,22
1458,이정훈,KIA,1994-12-07,185cm,90kg,25
1459,김시현,삼성,1998-09-26,181cm,89kg,21
1460,나원탁,롯데,1994-08-20,183cm,95kg,25
1461,강상원,한화,1997-05-05,172cm,64kg,23
1462,강동호,롯데,1994-04-21,189cm,118kg,26
1463,노관현,KIA,1993-10-18,172cm,75kg,26
1464,김홍빈,Hero,1996-09-16,182cm,78kg,23
1465,안주형,삼성,1993-08-14,176cm,68kg,26
1466,채상현,Hero,1993-04-14,180cm,83kg,27
1467,로맥,SK,1985-09-30,188cm,100kg,34
1468,브리검,Hero,1988-02-10,190cm,95kg,32
1469,이영하,두산,1997-11-01,192cm,91kg,22
1470,오윤성,Hero,1998-12-10,182cm,77kg,21
1471,박상언,한화,1997-03-03,185cm,75kg,23
1472,김찬호,SK,1997-03-10,179cm,76kg,23
1473,남재현,KIA,1996-09-13,182cm,78kg,23
1474,김성윤,삼성,1999-02-02,163cm,62kg,21
1475,안성무,삼성,1990-12-14,180cm,80kg,29
1476,로하스,KT,1990-05-24,188cm,102kg,30
1477,이재근,KT,1995-01-15,177cm,71kg,25
1480,박승주,Hero,1994-02-12,179cm,90kg,26
1481,김태연,한화,1997-06-10,178cm,99kg,23
1482,박유연,두산,1998-12-20,177cm,77kg,21
1483,김혜성,Hero,1999-01-27,179cm,78kg,21
1484,김해수,Hero,1996-12-13,187cm,87kg,23
1486,나종덕,롯데,1998-03-16,186cm,97kg,22
1487,정경운,한화,1993-08-09,179cm,76kg,26
1488,김찬형,NC,1997-12-29,182cm,80kg,22
1489,이원재,NC,1989-05-20,186cm,86kg,31
1491,김진영,한화,1992-04-16,180cm,89kg,28
1492,박상원,한화,1994-09-09,189cm,88kg,25
1494,정동윤,SK,1997-10-22,193cm,103kg,22
1495,로니,LG,1984-05-07,190cm,106kg,36
1496,김성훈,KT,1993-10-27,172cm,68kg,26
1497,이영준,Hero,1991-10-10,184cm,97kg,28
1498,안치영,KT,1998-05-29,176cm,72kg,22
1499,초이스,Hero,1989-11-10,183cm,104kg,30
1500,류재인,NC,1996-05-06,184cm,75kg,24
1501,이종혁,KT,1997-05-29,190cm,86kg,23
1503,이민우,KIA,1993-02-09,185cm,94kg,27
1504,신진호,NC,1991-10-20,186cm,103kg,28
1505,최민창,LG,1996-04-16,179cm,76kg,24
1506,백승현,LG,1995-05-26,183cm,78kg,25
1507,박성한,SK,1998-03-30,180cm,77kg,22
1508,김주성,LG,1998-01-30,180cm,81kg,22
1509,김도영,KT,1993-01-26,190cm,103kg,27
1510,양창섭,삼성,1999-09-22,182cm,85kg,20
1511,최채흥,삼성,1995-01-22,186cm,97kg,25
1512,강백호,KT,1999-07-29,184cm,98kg,20
1513,한동희,롯데,1999-06-01,181cm,99kg,21
1514,유승철,KIA,1998-03-02,184cm,87kg,22
1515,곽빈,두산,1999-05-28,187cm,95kg,21
1516,후랭코프,두산,1988-08-27,195cm,95kg,31
1517,파레디스,두산,1988-11-25,191cm,95kg,31
1518,듀브론트,롯데,1987-10-23,188cm,108kg,32
1520,윤성빈,롯데,1999-02-26,197cm,90kg,21
1521,왕웨이중,NC,1992-04-25,188cm,83kg,28
1522,베렛,NC,1990-06-19,188cm,86kg,30
1523,이원준,SK,1998-07-02,190cm,98kg,21
1524,윌슨,LG,1989-09-25,188cm,84kg,30
1525,가르시아,,1985-04-12,177cm,93kg,35
1526,김선기,Hero,1991-09-01,187cm,94kg,28
1527,박주홍,한화,1999-08-20,178cm,109kg,20
1528,휠러,한화,1990-10-27,198cm,115kg,29
1529,호잉,한화,1989-05-18,190cm,92kg,31
1530,샘슨,한화,1991-01-06,188cm,102kg,29
1531,보니야,삼성,1990-06-18,186cm,102kg,30
1532,아델만,삼성,1987-11-13,196cm,102kg,32
1533,산체스,SK,1989-11-28,185cm,88kg,30
1534,장진혁,한화,1993-09-30,184cm,83kg,26
1535,정은원,한화,2000-01-17,177cm,78kg,20
1536,신병률,KT,1996-01-30,175cm,83kg,24
1537,김정후,LG,1988-09-26,178cm,85kg,31
1538,정철원,두산,1999-03-27,190cm,95kg,21
1540,오넬리,한화,1983-05-26,188cm,98kg,37
1542,김진욱,한화,2000-01-13,176cm,79kg,20
1543,박신지,두산,1999-07-16,185cm,75kg,20
1544,오영수,NC,2000-01-30,178cm,93kg,20
1545,김유신,KIA,1999-06-14,187cm,100kg,21
1546,황인준,KIA,1991-07-23,184cm,94kg,28
1547,이승진,두산,1995-01-07,185cm,83kg,25
1548,현도훈,두산,1993-01-13,188cm,89kg,27
1549,이유찬,두산,1998-08-05,175cm,68kg,21
1550,김민규,두산,1999-05-07,183cm,90kg,21
1552,봉민호,SK,1996-06-26,184cm,88kg,23
1553,정성종,롯데,1995-11-16,181cm,88kg,24
1554,김호재,삼성,1995-05-31,178cm,72kg,25
1555,이인혁,NC,1999-01-03,183cm,89kg,21
1556,안우진,Hero,1999-08-30,191cm,90kg,20
1557,최건,KT,1999-04-10,183cm,92kg,21
1558,김영준,LG,1999-01-12,185cm,89kg,21
1559,남윤성,SK,1987-08-04,191cm,95kg,32
1560,이도윤,한화,1996-10-07,173cm,71kg,23
1561,이승호,Hero,1999-02-08,187cm,93kg,21
1563,이우석,NC,1996-04-16,185cm,80kg,24
1564,하준영,KIA,1999-09-06,182cm,77kg,20
1566,예진원,Hero,1999-03-16,174cm,85kg,21
1567,백승민,삼성,1990-07-09,184cm,78kg,29
1568,문성주,LG,1997-02-20,175cm,78kg,23
1569,김석환,KIA,1999-02-28,187cm,97kg,21
1570,김재균,NC,1999-01-17,176cm,83kg,21
1571,김형준,NC,1999-11-02,187cm,98kg,20
1572,김인환,한화,1994-01-28,186cm,88kg,26
1573,반슬라이크,두산,1986-07-24,193cm,102kg,33
1574,김성훈,한화,1998-02-04,186cm,83kg,22
1575,헤일,한화,1987-09-27,188cm,97kg,32
1576,최원준,두산,1994-12-21,182cm,91kg,25
